Datum,Kikinda Centar,Novi Sad Liman,Beograd Stari grad,Beograd Novi Beograd,Beograd Vracar,Beograd Zeleno brdo,Kosjeric,Popovac,Kamenicki Vis,Nis O.s. Sveti Sava,Kopaonik
2019-1-1,43.91,,21.51,23.88,15.39,32.55,44.04,20.04,50.08,29.94,67.59
2019-1-2,56.23,,29.53,29.53,20.7,38.16,43.85,19.79,56.35,30.04,82.14
2019-1-3,43.48,,44.45,24.73,27.28,41.78,49.41,40.41,52.59,45.75,80.03
2019-1-4,45.8,,38.14,22.5,22.76,41.4,40.56,45.83,56.19,48.49,81.53
2019-1-5,39.69,,24.69,46.21,21.29,38.95,39.58,50.39,55.01,44.81,74.04
2019-1-6,39.33,,42.76,23.06,30.4,47.5,38.88,41.31,55.95,40.98,78.63
2019-1-7,49.2,,46.28,43.04,37.6,48.23,40.19,55.75,60.23,50.9,79.16
2019-1-8,56.69,,16.59,38.01,19.25,45.56,27.2,56.1,67.8,53.13,86.45
2019-1-9,36.43,,16.88,20.64,18.08,37.29,13.65,46.1,63.81,53.71,81.66
2019-1-10,32.59,28.08,33.06,13.04,,36.61,21,28.51,60.3,16.89,79.71
2019-1-11,31.49,29.11,29.81,14.76,16.61,31.41,19.94,27.24,49.35,24.33,67.53
2019-1-12,39.68,46.14,16.29,31.5,13,35.84,16.74,49.16,77.08,44.55,73.56
2019-1-13,42.09,45.71,12.05,33.87,12.75,29.66,18.05,47.96,75.15,55.93,87.29
2019-1-14,54.95,60.14,42.69,38.36,,50.9,14.9,18.1,71.59,18.11,89.16
2019-1-15,55.24,53.84,48.46,50.08,34.71,54.4,36.39,64.55,72.24,57.2,91.45
2019-1-16,49.68,65.11,31.27,46.8,29.83,55.09,25.02,,88.53,44.71,99.89
2019-1-17,53.48,85.51,12.39,53.53,21.01,61.85,13.82,,82.63,45.51,102.69
2019-1-18,31.44,80.85,24.92,41.06,32.35,64.99,,,88.38,35.56,105.63
2019-1-19,17.89,27.48,20.65,16.16,14.05,35.75,13.78,,60.43,25.78,98.9
2019-1-20,23.36,30.13,28.36,19.94,22.53,41.75,9.79,,57.04,29.01,95.23
2019-1-21,45.79,39.45,33.66,32.25,20.43,45.26,12.29,,51.64,29.4,100.79
2019-1-22,33.9,36.06,29.09,20.48,25.53,44.78,11.17,,51.01,28.4,100.5
2019-1-23,34.33,35.23,35.53,15.16,24.15,50.05,10.67,,62.24,39.13,93.64
2019-1-24,33.63,31.1,40.14,17.74,30.89,54.09,33.94,,55.88,36.14,82.9
2019-1-25,34.1,25.66,31.2,18.44,17.5,39.29,30.71,,54.31,40.99,78.85
2019-1-26,59.3,49.68,12.5,29.05,7.1,33.24,17.06,,50.06,34.36,72.6
2019-1-27,81.68,70.18,46.85,36.64,50.8,74.14,47.06,,72.53,64.39,92.46
2019-1-28,61.43,64.65,49.16,55.26,47.25,55.64,25.08,,70.39,40.19,93.99
2019-1-29,38.8,41.89,22.65,26.66,16.76,34.1,,,63.85,,99.28
2019-1-30,26.78,25.38,23.16,23.18,10.96,24.83,,43.95,62.8,32.33,97.61
2019-1-31,26.64,33.46,16.99,6.4,16.18,31.68,27.71,31.81,60.41,17.81,103.9
2019-2-1,63.26,62.38,31.86,54.99,36.61,55.41,24.4,67.43,71.95,27.93,98.05
2019-2-2,58.43,62.84,44.94,59.33,49.4,58.76,24.9,66.65,73.03,28.13,87.28
2019-2-3,54.03,65.9,47.45,59.26,51.2,54.76,28.61,,,55.11,88.29
2019-2-4,36.58,42.13,20.9,18.15,15.21,43.73,11.16,36.28,,20.33,94.13
2019-2-5,16.91,21.49,17.79,12.51,12.29,23.11,26.9,19.56,,24.56,90.55
2019-2-6,53.49,43.57,24.32,21.8,17.2,32.56,41.74,15.16,,25.58,90.78
2019-2-7,52.6,55.5,26.99,25.6,19.61,42.59,52.49,44.45,43.41,42.6,96.24
2019-2-8,42.84,32.86,25.66,28.09,24.74,36.84,53.41,47.1,48.54,32,103.63
2019-2-9,47.51,28.14,34.46,50.2,31.71,64.49,61.64,59.19,77.37,62.59,107.79
2019-2-10,53.24,70.7,12.93,44.09,21.28,63.26,57.44,57.13,76.35,56.18,104.38
2019-2-11,34.98,81,40.89,64.25,45.05,66.74,42.99,69.86,74.35,57.26,106
2019-2-12,59.97,64.07,53.97,46.85,36.61,55.47,75.64,41.26,57.95,37.98,88.54
2019-2-13,57.58,49.14,49.7,42.91,33.06,57.21,74.83,54.7,64.55,52.85,87.61
2019-2-14,51.81,46.05,27.14,32.49,22.44,40.14,60.59,24.1,58.1,33.58,89.3
2019-2-15,64.31,57.93,42.14,43.08,32.89,63.89,69.81,50.04,62.8,62,87.49
2019-2-16,62.7,65.45,35.9,48.19,24.79,60.15,61.6,70.45,74.9,73.83,92.58
2019-2-17,74.88,79.34,46.96,43.78,27.49,81.01,63.28,69.29,78.06,72.69,96.44
2019-2-18,82.53,75.44,56.27,66.68,33.71,93.43,64.9,64.06,78.96,67.23,98.08
2019-2-19,71.41,62.85,22.1,46.37,15.07,75.76,60.79,68.11,90.36,56.99,112.63
2019-2-20,62.25,,41.59,51.63,16.89,64.15,88.66,78.61,84.89,79.2,118.63
2019-2-21,71.66,,47.17,47.86,23.66,63.64,80.96,71.56,73.1,71.36,108.25
2019-2-22,61.09,57.24,49.15,35.48,40.45,45.5,44.63,34.74,68.96,31.66,107.13
2019-2-23,66,61.43,55.59,57.3,50.34,67.31,70.99,69.84,,78.84,81.25
2019-2-24,60.88,60.18,45.54,45.99,38.99,52.18,78.77,76.14,73.33,70.26,82.45
2019-2-25,71.46,81.61,55.25,64.2,46.19,75.29,76.29,79.55,73.93,74.88,92.73
2019-2-26,63.03,58.18,40.29,48.83,24.74,55.38,79.83,73.14,75.13,69.84,109.13
2019-2-27,68,60.71,57.4,49.49,42.45,72.24,74.5,64.89,59.31,59.88,98.88
2019-2-28,77.21,81.23,42.23,69.08,30.93,71.4,63.54,69.03,79.49,66.9,112.5
2019-3-1,73.38,71.41,49.85,51.13,27.01,66.05,66.49,72.64,75.69,67.69,115.5
2019-3-2,66.73,51.66,43.31,41.01,25.53,57.89,68.25,64.34,70.1,65.16,103.58
2019-3-3,50.23,69.78,25.33,38.14,20.88,50.83,58.34,57.64,60.59,61.11,96.15
2019-3-4,,104.43,36.76,80.1,41.86,90.79,81.08,79.38,80.58,76.24,121.75
2019-3-5,78.15,87.08,44.69,68.38,39.04,71.71,63.14,73.63,76.6,82.05,124.38
2019-3-6,75.73,81.44,54.66,60.74,40.76,77.39,58.79,76.96,,77.49,119
2019-3-7,77.89,91.74,43.98,75.99,44.85,82.39,86.21,,86.38,84.41,120.38
2019-3-8,76.86,78.56,43.03,60.53,31.98,78.55,79.53,80.48,79.85,86.63,118.25
2019-3-9,76.01,83.5,34.14,55.95,30.75,68.01,42.34,51.45,76.2,69.64,117.88
2019-3-10,78.91,88.69,47.6,71.26,42.95,81.59,86.41,72.99,79.74,85.29,111.88
2019-3-11,72,,49.19,50.88,34.98,69.74,68.31,66.9,71.91,75.96,108.88
2019-3-12,72.68,61.66,51.38,50.28,42.08,68.4,73.34,66.73,66.81,58.28,98.38
2019-3-13,84.45,85.06,48.83,74.33,44.6,80.58,72.86,70.75,76.14,81.81,111.75
2019-3-14,71.31,71.69,51.9,53.79,42.73,76.94,77.41,72.78,69.01,74.5,115.38
2019-3-15,71.98,76.74,,58.89,29.99,61.68,78.43,73.09,77.35,75.55,114.75
2019-3-16,76.46,68.73,42.75,48.75,35.89,62.69,74.25,68.28,74.35,73.46,115
2019-3-17,85.46,89.31,37.69,65.2,30.85,85.74,74.54,71.4,75.94,78.4,110.63
2019-3-18,81.86,73.09,66.83,74.91,57.11,89.7,81.91,73.61,,77.74,100.35
2019-3-19,74.65,57.04,59.36,54.56,42.59,74.43,76.43,67.65,75.14,80.24,110
2019-3-20,77.04,58.69,52.31,37.13,38.26,60.84,75.19,,65.41,,104.23
2019-3-21,92.1,85.19,68.33,74.97,56.83,90.88,99.81,,64.4,65.4,109.25
2019-3-22,102.44,99.55,78.36,78.6,58.73,102.65,105.74,,101.64,101.86,126.38
2019-3-23,75.91,73.45,59.15,57.36,41.7,79.64,93.9,,90.09,94.19,119.13
2019-3-24,97.51,107.35,66.98,88.7,53.99,104.45,93.94,,107.25,99.64,115.63
2019-3-25,86.78,81.18,72.74,72.59,56.49,96.13,113.18,,106.84,105.57,140
2019-3-26,85.36,78.74,62.08,61.11,51.39,81,82.26,80.71,93.33,65.66,129.14
2019-3-27,82.86,71.64,67.15,61.47,52.05,83.23,80.99,83.63,98.76,69.88,106.13
2019-3-28,90.66,78.03,68.81,77.09,61.1,91.51,98.99,87.85,104.88,77.24,120
2019-3-29,85.6,76.88,70,66.53,57.51,87.01,100.99,98.19,,83.24,130
2019-3-30,98.24,99.36,79.2,81.14,65.44,101.86,109.83,97.91,112.75,79.84,129
2019-3-31,107.38,103.76,79.11,91.58,69.44,107.45,109.49,94.86,116,84.65,139
2019-4-1,97.93,97.28,88.86,90.84,61.01,117.29,116.81,104.98,125.25,86.96,139.5
2019-4-2,95.39,96.79,65.05,80.01,,92.31,99.91,79.98,120,91.69,135
2019-4-3,95.73,99.36,65.7,85.3,67.21,93.56,99.44,82.09,98.43,93.84,135.63
